place_id,place_name,place_types,place_address,place_average_ratings,place_ratings_count,place_reviews_count,place_location,place_website,place_phone_number,place_price_level,place_primary_type,has_delivery,has_dine_in,is_reservable,serves_breakfast,serves_lunch,serves_dinner,serves_beer,serves_wine,places_opening_hours
ChIJvyiVxUvbfkcRgRlKtiaeKcY,La Fiorentina,"['restaurant', 'food', 'point_of_interest', 'establishment']","Via G. Marconi, 123, 35020 Ponte San Nicolò PD, Italy",4.4,287,,,,+39 049 816 4672,PRICE_LEVEL_MODERATE,restaurant,False,True,True,False,True,True,True,True,"['Monday: 7:30\u2009–\u200911:00\u202fPM', 'Tuesday: 7:30\u2009–\u200911:00\u202fPM', 'Wednesday: 7:30\u2009–\u200911:00\u202fPM', 'Thursday: 7:30\u2009–\u200911:00\u202fPM', 'Friday: 7:30\u2009–\u200911:00\u202fPM', 'Saturday: 7:30\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20092:30\u202fPM']"
ChIJoc1PNqTcfkcRKKH7NMD89Aw,Caffe' e Sapori,"['bar', 'point_of_interest', 'establishment']","Via Pietro Bembo, 104, 35124 Pozzoveggiani PD, Italy",4.5,75,,,,,,bar,,True,True,,,,True,True,"['Monday: 5:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 5:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 5:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 5:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 5:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 5:30\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']"
ChIJvRG-bTTbfkcRhtEN5zhv8bs,SCHIAVON SECONDO EREDI SNC DI SCHIAVON MAURELIO & C.,"['bar', 'food', 'point_of_interest', 'establishment']","Via Piave, 56, 35020 Ponte San Nicolò PD, Italy",4.5,58,,,https://www.enotecaschiavon.store/,+39 049 718480,PRICE_LEVEL_INEXPENSIVE,bar,True,True,,,,,True,True,"['Monday: 4:00\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20091:00\u202fPM']"
ChIJM--CPh3FfkcRk4sldKN9ye8,Seven Pub,"['sandwich_shop', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Venezia, 17, 35020 Villatora PD, Italy",4.4,325,,,https://www.facebook.com/sevenpubsaonara/,+39 327 051 8054,PRICE_LEVEL_MODERATE,bar,False,True,True,,,,True,True,"['Monday: 6:00\u202fPM\u2009–\u20091:00\u202fAM', 'Tuesday: 6:00\u202fPM\u2009–\u20091:00\u202fAM', 'Wednesday: 6:00\u202fPM\u2009–\u20091:00\u202fAM', 'Thursday: 6:00\u202fPM\u2009–\u20091:00\u202fAM', 'Friday: 6:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 7:00\u202fPM\u2009–\u20091:00\u202fAM', 'Sunday: 7:00\u202fPM\u2009–\u200912:00\u202fAM']"
ChIJD1J4l1DafkcRv9L1ufyvcHo,Ristorante Vecchia Padova,"['italian_restaurant', 'pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Cesare Battisti, 37, 35121 Padova PD, Italy",4.1,2185,,,https://www.ristorantevecchiapadova.it/,+39 049 875 9680,PRICE_LEVEL_MODERATE,italian_restaurant,True,True,True,False,True,True,True,True,"['Monday: Closed', 'Tuesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 11:00\u202fAM\u2009–\u20093:00\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM']"
ChIJy1zB1n3ZfkcRSLvFtt2ZaJc,Orazio 1957 - Cucina Veneta & Pizza - Il ristorante e pizzeria che unisce due passioni,"['restaurant', 'banquet_hall', 'seafood_restaurant', 'pizza_restaurant', 'italian_restaurant', 'meal_takeaway', 'food', 'event_venue', 'point_of_interest', 'establishment']","Via Isacco Newton, 7, 35143 Padova PD, Italy",4.3,1997,,,https://orazio1957.com/,+39 329 218 3524,PRICE_LEVEL_INEXPENSIVE,restaurant,True,True,True,False,True,True,True,True,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Saturday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u2009–\u200911:00\u202fPM']"
ChIJ-18_3u3afkcRA_zk7zbJF3M,Bar La Cittadella,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Antonio Grassi, 18, 35129 Padova PD, Italy",4.2,188,,,https://www.facebook.com/profile.php?id=100055207721586,+39 049 645 5641,PRICE_LEVEL_INEXPENSIVE,bar,False,True,True,,,,True,True,"['Monday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: Closed']"
ChIJs0KpGH3bfkcRKbC80U2Min0,miscusi Padova,"['restaurant', 'italian_restaurant', 'food', 'store', 'point_of_interest', 'establishment']","Piazza della Frutta, 18, 35122 Padova PD, Italy",4.6,2422,,,https://www.miscusi.com/it/,,PRICE_LEVEL_MODERATE,restaurant,True,True,True,,True,True,True,True,"['Monday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Tuesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Wednesday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Thursday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Friday: 12:00\u2009–\u20093:00\u202fPM, 7:00\u2009–\u200910:00\u202fPM', 'Saturday: 12:00\u2009–\u200911:00\u202fPM', 'Sunday: 12:00\u2009–\u200910:00\u202fPM']"
ChIJL-HUfEjFfkcRLMrF-O4jY6c,Opificio Padova,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Via Roma, 131, 35027 Noventa Padovana PD, Italy",4.3,862,,,https://www.opificiopadova.it/,+39 379 104 7747,PRICE_LEVEL_MODERATE,restaurant,False,True,True,False,True,True,True,True,"['Monday: Closed', 'Tuesday: 12:30\u2009–\u20092:30\u202fPM, 7:30\u2009–\u200911:00\u202fPM', 'Wednesday: 12:30\u2009–\u20092:30\u202fPM, 7:30\u2009–\u200911:00\u202fPM', 'Thursday: 12:30\u2009–\u20092:30\u202fPM, 7:30\u2009–\u200911:00\u202fPM', 'Friday: 12:30\u2009–\u20092:30\u202fPM, 7:30\u2009–\u200911:00\u202fPM', 'Saturday: 12:30\u2009–\u20092:30\u202fPM, 7:30\u2009–\u200911:00\u202fPM', 'Sunday: 12:30\u2009–\u20092:30\u202fPM']"
ChIJEeD7SKvbfkcRqo0NAH0k_u8,Zairo,"['italian_restaurant', 'pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Prato della Valle, 51, 35123 Padova PD, Italy",4.2,2422,,,http://zairo.net/,+39 049 663803,PRICE_LEVEL_MODERATE,italian_restaurant,,True,True,False,True,True,True,True,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u202fPM\u2009–\u200912:01\u202fAM', 'Wednesday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u202fPM\u2009–\u200912:01\u202fAM', 'Thursday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u202fPM\u2009–\u200912:01\u202fAM', 'Friday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u202fPM\u2009–\u200912:01\u202fAM', 'Saturday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u202fPM\u2009–\u200912:01\u202fAM', 'Sunday: 12:00\u2009–\u20092:30\u202fPM, 7:00\u202fPM\u2009–\u200912:00\u202fAM']"
ChIJZ3saHuXafkcRrRT36MISFaE,Da Pippo,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Gattamelata, 80, 35128 Padova PD, Italy",4.2,1074,,,https://www.facebook.com/pages/Trattoria-Da-Pippo/162736520405307,+39 049 807 0476,PRICE_LEVEL_INEXPENSIVE,italian_restaurant,False,True,True,False,True,True,True,True,"['Monday: 12:00\u2009–\u20092:00\u202fPM, 7:15\u2009–\u20099:00\u202fPM', 'Tuesday: 12:00\u2009–\u20092:00\u202fPM, 7:15\u2009–\u20099:00\u202fPM', 'Wednesday: 12:00\u2009–\u20092:00\u202fPM, 7:15\u2009–\u20099:00\u202fPM', 'Thursday: 12:00\u2009–\u20092:00\u202fPM, 7:15\u2009–\u20099:00\u202fPM', 'Friday: 12:00\u2009–\u20092:00\u202fPM, 7:15\u2009–\u20099:00\u202fPM', 'Saturday: 12:00\u2009–\u20092:00\u202fPM', 'Sunday: Closed']"
ChIJC628jEXafkcRb38-THnIM0E,Bistro Mexicano,"['mexican_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via dei Livello, 11, 35139 Padova PD, Italy",4.5,1305,,,https://www.bistromexicano.com/,+39 049 875 9203,PRICE_LEVEL_MODERATE,mexican_restaurant,,True,True,False,,True,True,True,"['Monday: Closed', 'Tuesday: 6:30\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 6:30\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 6:30\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 6:30\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 6:30\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 6:30\u202fPM\u2009–\u20092:00\u202fAM']"
ChIJt8WE2tTafkcRkykkwOO9BvM,Gustò Bar Ristoranti,"['restaurant', 'food', 'point_of_interest', 'establishment']","Corso Stati Uniti, 1/9, 35127 Padova PD, Italy",4,519,,,https://www.facebook.com/Gust%C3%B2-Bar-Ristoranti-1689860997773685/,+39 049 870 5861,PRICE_LEVEL_INEXPENSIVE,restaurant,True,True,True,True,True,,True,True,"['Monday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: 7:30\u202fAM\u2009–\u20097:30\u202fPM']"
ChIJ4byR4vfafkcRG0I-AG7D3l8,Agli Amici,"['bar', 'point_of_interest', 'establishment']","Via Giambattista Belzoni, 22, 35121 Padova PD, Italy",4.4,440,,,https://www.facebook.com/Agli.Amici.bar/info/?tab=overview,+39 348 481 0306,PRICE_LEVEL_INEXPENSIVE,bar,,True,True,,,,True,True,"['Monday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 5:00\u202fPM\u2009–\u200912:00\u202fAM']"
ChIJv7Fbvn3ZfkcRehthpEIa6kA,Ristorante Tian Jin,"['japanese_restaurant', 'sushi_restaurant', 'meal_delivery', 'chinese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via dei Colli, 99, 35143 Padova PD, Italy",4.5,770,,,https://www.rostianjin.it/,+39 049 624911,PRICE_LEVEL_MODERATE,japanese_restaurant,True,True,True,False,True,True,True,True,"['Monday: Closed', 'Tuesday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM', 'Sunday: 11:30\u202fAM\u2009–\u20093:00\u202fPM, 6:30\u2009–\u200911:00\u202fPM']"
ChIJUwF3GW7afkcRiFxC_1bdSDw,Corner,"['bar', 'point_of_interest', 'establishment']","Via Cattaro, 20, 35135 Padova PD, Italy",4.7,251,,,https://www.facebook.com/realcornerbar/?locale=it_IT,+39 351 669 4354,PRICE_LEVEL_INEXPENSIVE,bar,True,True,True,,,,True,True,"['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:30\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:30\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20091:30\u202fPM', 'Sunday: Closed']"
ChIJUebtR-PbfkcROqMMSydhMVk,Bar Heart,"['cafe', 'bar', 'food', 'point_of_interest', 'establishment']","Via E. Fermi, 27/21, 35136 Padova PD, Italy",4.4,50,,,,,,cafe,False,True,,True,True,,True,True,"['Monday: 7:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u200912:30\u202fPM', 'Sunday: Closed']"
ChIJQwclNPjPfkcRkP4RqwUDTt4,One Street Cafe',"['fast_food_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via Prima Strada, 35, 35129 Padova PD, Italy",4.4,194,,,,+39 347 246 0655,,restaurant,True,True,True,True,True,False,True,True,"['Monday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
ChIJOx5sMCjFfkcRxfRCTbzo-Qk,Ristorante Europa,"['restaurant', 'pizza_restaurant', 'italian_restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Corso Stati Uniti, 35127 Padova PD, Italy",3.8,380,,,http://info888407.wixsite.com/ristorante-europa,+39 049 761962,PRICE_LEVEL_INEXPENSIVE,restaurant,,True,True,False,True,True,True,True,"['Monday: 11:45\u202fAM\u2009–\u20092:30\u202fPM', 'Tuesday: 11:45\u202fAM\u2009–\u20092:30\u202fPM', 'Wednesday: 11:45\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 11:45\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 11:45\u202fAM\u2009–\u20092:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
ChIJc34OU1HafkcRNil1puEkTg8,Frascoli Bacaro / Cicchetteria veneziana a Padova,"['seafood_restaurant', 'italian_restaurant', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","Via del Santo, 93, 35123 Padova PD, Italy",4.5,1316,,,https://www.frascoli.it/,+39 049 660505,PRICE_LEVEL_MODERATE,italian_restaurant,True,True,True,False,True,True,True,True,"['Monday: Closed', 'Tuesday: 11:30\u202fAM\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200910:30\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200910:30\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200910:30\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200910:30\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u20092:30\u202fPM, 6:30\u2009–\u200910:30\u202fPM', 'Sunday: Closed']"
ChIJ952PgtjEfkcRwGigHQze3CY,Nuovo Mercato,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']","Corso Stati Uniti, 50, 35127 Padova PD, Italy",4.3,700,,,http://www.nuovomercato.net/,+39 049 870 3054,PRICE_LEVEL_INEXPENSIVE,restaurant,True,True,True,True,True,True,True,True,"['Monday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
