place_id,name,text.text,rating,publishTime,relativePublishTimeDescription
ChIJJ2V2p07bfkcRUn-PDbI80hI,places/ChIJJ2V2p07bfkcRUn-PDbI80hI/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ1OE12X213RRAB,"I was sick, it was Sunday afternoon and ALL the bars in the area were closed. I really needed the toilet.
I approached the owner to beg to use it, and the only thing he cared was to keep the place clean, because the toilet was supposed to be for the customers.
The toilet had no paper, it was not clean and rushed me to leave.
I had to buy a coke of course, at least I was a customer too.
Poor to none humanity",1,2023-10-19T10:31:19Z,7 months ago
ChIJJ2V2p07bfkcRUn-PDbI80hI,places/ChIJJ2V2p07bfkcRUn-PDbI80hI/reviews/ChZDSUhNMG9nS0VJQ0FnSURSMWJMelpREAE,"Interesting bites in a interesting place. I had baccalà (the two ways, mantecato and alla vicentina) whilst my wife had 6 arrosticini. A glass of white each. All of that for 27€. I would have liked more food and 1,5l water bottles; besides that food was very good. Service had some troubles, but nothing that bad.",4,2023-04-30T12:24:36Z,a year ago
ChIJJ2V2p07bfkcRUn-PDbI80hI,places/ChIJJ2V2p07bfkcRUn-PDbI80hI/reviews/ChZDSUhNMG9nS0VJQ0FnSUNhd0ptSlJ3EAE,"One of the best places we've been to in Padova!! A special recommendation is the vegetarian sandwich with pumpkin and tomatoes. The wine selection is outstanding ;) Andy was really kind and explained us everything in detail. Unfortunately we couldnt do a picture of the wine card... If someone could add it to the google reviews, we would be really happy! :-)",5,2021-07-20T18:51:36Z,2 years ago
ChIJy1zB1n3ZfkcRSLvFtt2ZaJc,places/ChIJy1zB1n3ZfkcRSLvFtt2ZaJc/reviews/ChdDSUhNMG9nS0VJQ0FnSUNUcU82OWtnRRAB,The lunch special was amazing. And the house white wine is delicious. 100% would go again.,5,2024-05-10T12:52:10Z,a week ago
ChIJy1zB1n3ZfkcRSLvFtt2ZaJc,places/ChIJy1zB1n3ZfkcRSLvFtt2ZaJc/reviews/ChdDSUhNMG9nS0VJQ0FnSURpX3F1ZXh3RRAB,"Typical trattoria in Padua for those who love cod.  We had a lunch for work and this place, despite a very simple mise en place, impressed us with the quality of the food.  I was able to choose a trio of cod: alla vicentina, in sauce and marinara ... served with polenta.  Really tasty!  My colleagues opted for the mixed fried fish and seafood.  I have tasted it and it is spectacular!  All washed down with a sparkling local wine.  To finish the dessert of cream and raspberry mousse on chocolate flakes.  How not to end up without a coffee and a local liqueur?  Done!  Special liqueur ""Of Dorange Bollo"".  Wonderful!",4,2020-12-04T10:51:17Z,3 years ago
ChIJy1zB1n3ZfkcRSLvFtt2ZaJc,places/ChIJy1zB1n3ZfkcRSLvFtt2ZaJc/reviews/ChZDSUhNMG9nS0VJQ0FnSUM1OGJLNVBnEAE,If you like (or want to try) salt cold (baccalà) this is the place. A delicious range on offer. Non-salt cod dishes also available.,5,2023-10-15T08:29:07Z,7 months ago
ChIJy1zB1n3ZfkcRSLvFtt2ZaJc,places/ChIJy1zB1n3ZfkcRSLvFtt2ZaJc/reviews/ChZDSUhNMG9nS0VJQ0FnSUNPd1pXbGVREAE,"first time .. A friendly place, clean and quiet! I ate well. I'll be back for sure !! 👍🏽",5,2022-06-11T21:34:51Z,a year ago
ChIJy1zB1n3ZfkcRSLvFtt2ZaJc,places/ChIJy1zB1n3ZfkcRSLvFtt2ZaJc/reviews/ChdDSUhNMG9nS0VJQ0FnSURPODZxVnJRRRAB,"Staff is very polite and know english so there is No problem in communication. Because of our allergies, We got special dish that was not in menu. Waiting time was around 10 minutes. Perfect!",5,2022-07-13T18:43:50Z,a year ago
ChIJEeD7SKvbfkcRqo0NAH0k_u8,places/ChIJEeD7SKvbfkcRqo0NAH0k_u8/reviews/ChdDSUhNMG9nS0VJQ0FnSURkOEwzVHBBRRAB,Very nice restaurant with an elegant internal design. It is 5-6 minutes walk to the botanical garden. At first feels like a touristic place but locals were eating there in winter. Recommended.,5,2024-02-20T13:19:13Z,2 months ago
ChIJEeD7SKvbfkcRqo0NAH0k_u8,places/ChIJEeD7SKvbfkcRqo0NAH0k_u8/reviews/ChdDSUhNMG9nS0VJQ0FnSUM5LW9LdDBRRRAB,I like the all the dishes including the pasta and the risotto! Definitely an recommendation. The restaurant is situated in an really old building with wall paintings.,4,2024-03-04T18:44:58Z,2 months ago
ChIJEeD7SKvbfkcRqo0NAH0k_u8,places/ChIJEeD7SKvbfkcRqo0NAH0k_u8/reviews/ChdDSUhNMG9nS0VJQ0FnSURkdGVHVm5nRRAB,"Carbonara is just the best I’ve tried anywhere else in Italy! The place has atmosphere like I went to the old times of 20-30s, really vintage and beautiful. Prosecco was also amazing. I will come again. One note is only about an old man who was standing near me and looking at me making everything to make me leave after one hour on the table, even if I didn’t finish my Prosecco yet. But it was a holiday of st.Valentine’s, so can understand they were expecting many other people. But still wouldn’t want to experience that again, and hope I will not when I come next time, I still liked everything a lot",5,2024-02-25T22:11:52Z,2 months ago
ChIJEeD7SKvbfkcRqo0NAH0k_u8,places/ChIJEeD7SKvbfkcRqo0NAH0k_u8/reviews/ChdDSUhNMG9nS0VJQ0FnSUREa3RQWS1RRRAB,"The food is delicious, portions and prices in line. It was crowded during lunch, but the staff is very well organized. Recommendation!",4,2024-04-07T13:28:48Z,a month ago
ChIJEeD7SKvbfkcRqo0NAH0k_u8,places/ChIJEeD7SKvbfkcRqo0NAH0k_u8/reviews/ChZDSUhNMG9nS0VJQ0FnSURqeGJqdUZBEAE,"The food was decent. However the service, was poor, the waiters were overwhelmed and forgot some of our orders. I would recommend going to one of the other restaurants near by for a better and faster experience.",1,2024-05-05T12:36:29Z,2 weeks ago
ChIJH_Fr3xDRfkcR2TGS8cl7Dkk,places/ChIJH_Fr3xDRfkcR2TGS8cl7Dkk/reviews/ChdDSUhNMG9nS0VJQ0FnSUNCNDhxU293RRAB,"The best: the environment. Huge space, almost all vintage and cozy. Perfect for a date, I would say. Tried a gin tonic, was so so. They don t do table service, everyone need to go and pay first. The drinks are made instantly, but for the food you'll need to wait a bit.",4,2023-01-03T11:16:08Z,a year ago
ChIJH_Fr3xDRfkcR2TGS8cl7Dkk,places/ChIJH_Fr3xDRfkcR2TGS8cl7Dkk/reviews/ChdDSUhNMG9nS0VJQ0FnSUNlaXJLRS1nRRAB,"Excellent beer! Lots of different types of beer.
Tasty food. High quality ingredients.
Modern interiors and garden with intimate atmosphere.
We will definitely come back!!",5,2022-09-10T20:32:56Z,a year ago
ChIJH_Fr3xDRfkcR2TGS8cl7Dkk,places/ChIJH_Fr3xDRfkcR2TGS8cl7Dkk/reviews/ChZDSUhNMG9nS0VJQ0FnSURqemFlc0ZBEAE,"Awesome brewery. Cool vibe, great beers, just like some of the awesome breweries in the US. We'll be back!",5,2024-05-06T07:01:04Z,a week ago
ChIJH_Fr3xDRfkcR2TGS8cl7Dkk,places/ChIJH_Fr3xDRfkcR2TGS8cl7Dkk/reviews/ChdDSUhNMG9nS0VJQ0FnSURBd3FYRHBBRRAB,Most amazing place ever I fell in love here. Best brew I've ever had a and all the staff are the very best! Please tell my Bella ragazza I miss her and I will forever be in love.,5,2017-12-17T20:24:44Z,6 years ago
ChIJH_Fr3xDRfkcR2TGS8cl7Dkk,places/ChIJH_Fr3xDRfkcR2TGS8cl7Dkk/reviews/ChZDSUhNMG9nS0VJQ0FnSUN3Nllfdkd3EAE,"Good selection of local artisan beers.  They offer also food with the traditional and amazing ""briciole"", kind of focaccia bread with different flavours. The venue is quite big with a pool table and different table games. There is also a garden outside to enjoy the nice weather in. Very recommended!",5,2018-02-17T16:23:25Z,6 years ago
ChIJC628jEXafkcRb38-THnIM0E,places/ChIJC628jEXafkcRb38-THnIM0E/reviews/ChZDSUhNMG9nS0VJQ0FnSUNlLW9PX1RREAE,"We loved it. I've lived in Texas, California, New Mexico, Arizona and cabo Mexico. So I grew up exposed to different styles of Mexican food. My husband thats Italian is new this type of food and lovvvvvveeeeeessssss it. So we were thrilled to try this restaurant. The female staff is beyond amazing and kind.
The drinks we loved so much we had 4. The food was delicious. Wonderful flavor in ever bite. 😋
Just wish the male waiter wasn't so rude to us when we arrived and sat down. Before I looked at the menu I asked him if they had a few dishes. He just quickly rudely said no and walked off. My husband was about to yell at him but I told him let it go. Luckily the food I asked about was on the menu. The guy was nicer after he saw that I was talking with the owner. But not about him. We talked about food and travel. So so sweet ❤️.

Honestly if I hadn't meet her, my review would have less stars because of the guy. But still same good review on the food and drinks. (He was also rude to other tables. I may not speak itlian yet but I understand it and venician. My husband speaks all dialects and a few other languages because of his job. Both of us have lived in Africa as well. And I've lived in China/ Beijing. So I listen to hear if locals are talking badly about me lol 😆 or others. I mentioned this because we heard another table also upset by his behavior.
I know some behavior is the itlian way, but his wouldn't do well in other countries at all. I was a sous chef, restaurant manager at 3 restaurants and executive chef at a casino in the usa. Mostly fusion cuisine.
Each country is different of course. But the ones I've lived in except italy wouldn't allow his bad disposition)",5,2022-09-12T10:26:22Z,a year ago
ChIJC628jEXafkcRb38-THnIM0E,places/ChIJC628jEXafkcRb38-THnIM0E/reviews/ChdDSUhNMG9nS0VJQ0FnSURKc096eDBRRRAB,"The staff was really nice although our order took around 40 minutes to be served. As I have tried many authentic Mexican restaurants before, I must say that this one was not authentic. It was more Italian-Mexican, tailored to satisfy the italian tastebuds. Portions look big but plates are full of green salads containing radicchio which is typically Italian and is not typical of the Mexican cuisine. The 3 stars go for the nice staff and the very nice decoration.",3,2023-07-09T11:17:22Z,10 months ago
ChIJC628jEXafkcRb38-THnIM0E,places/ChIJC628jEXafkcRb38-THnIM0E/reviews/ChdDSUhNMG9nS0VJQ0FnSUNKcmZXazNRRRAB,"the stars only go to 5, but this place is a 10/10. the staff is fantastic, the location is beautiful, the service is amazing, and the food is unmatched. if you’re looking for a laid back place to eat an absolutely delicious dinner, look no further- this is the place to go. truly the best mexican restaurant in italy",5,2023-07-02T18:13:44Z,10 months ago
ChIJC628jEXafkcRb38-THnIM0E,places/ChIJC628jEXafkcRb38-THnIM0E/reviews/ChZDSUhNMG9nS0VJQ0FnSURNNE0tX2RnEAE,"The atmosphere is nice, the employees are super friendly +considerable ,and each set of food is in large amount and dilicious! The only downside is the space at second floor is a little bit smaller. Still, I will recommend the restaurant to my friends!",4,2019-12-13T10:16:42Z,4 years ago
ChIJC628jEXafkcRb38-THnIM0E,places/ChIJC628jEXafkcRb38-THnIM0E/reviews/ChZDSUhNMG9nS0VJQ0FnSUN1czRfcmNREAE,"Different cuisine in Padova. Tasty, spicy and authentic Mexican dishes. Don’t forget tacos.",5,2022-08-05T21:51:38Z,a year ago
ChIJ0W8f10_afkcRYXJye9E4xdI,places/ChIJ0W8f10_afkcRYXJye9E4xdI/reviews/ChZDSUhNMG9nS0VJQ0FnSUQ5NjdMZVhBEAE,"A great local restaurant with a fun atmosphere, delicious food and house wine and attentive service.",5,2024-03-21T08:10:09Z,a month ago
ChIJ0W8f10_afkcRYXJye9E4xdI,places/ChIJ0W8f10_afkcRYXJye9E4xdI/reviews/ChZDSUhNMG9nS0VJQ0FnSUN1a1lHMkxBEAE,"We went on a Thursday right after visiting Capella Scrovegni and the museum, the restaurants I have researched previously were closed so we decided to lunch in Osteria l'Anfora based on the good reviews. It was past 14:20 and we were very friendly welcomed, the food was delicious and the atmosphere is really nice. Price was very reasonable for the quality! Great place.",5,2022-07-30T15:01:54Z,a year ago
ChIJ0W8f10_afkcRYXJye9E4xdI,places/ChIJ0W8f10_afkcRYXJye9E4xdI/reviews/ChdDSUhNMG9nS0VJQ0FnSUNqd19DS2dnRRAB,Nice little restaurant. Pasta delicious. Quit small but nice anyway,5,2024-04-25T04:19:55Z,3 weeks ago
ChIJ0W8f10_afkcRYXJye9E4xdI,places/ChIJ0W8f10_afkcRYXJye9E4xdI/reviews/ChdDSUhNMG9nS0VJQ0FnSUNaNk1MVDh3RRAB,"Tagliatelle with sausage and zucchini, and the apple cake was great. They say that the best places to eat at are where the locals would themselves, and this is it.",5,2023-09-03T11:58:20Z,8 months ago
ChIJ0W8f10_afkcRYXJye9E4xdI,places/ChIJ0W8f10_afkcRYXJye9E4xdI/reviews/ChZDSUhNMG9nS0VJQ0FnSUNKbi1UNFBREAE,"delicious food, authentic atmosphere. Hanna helped us with the menu because it was in Italian and helped us choose the wine.",5,2023-07-07T21:05:05Z,10 months ago
ChIJpTWHmbzbfkcRdRu-nZfYwIY,places/ChIJpTWHmbzbfkcRdRu-nZfYwIY/reviews/ChZDSUhNMG9nS0VJQ0FnSURwLWZqTGVnEAE,"The service was phenomenal, very friendly and attentive. The food was also great. Will definitely come back!",5,2023-08-25T09:12:28Z,8 months ago
ChIJpTWHmbzbfkcRdRu-nZfYwIY,places/ChIJpTWHmbzbfkcRdRu-nZfYwIY/reviews/ChZDSUhNMG9nS0VJQ0FnSURGMkttTmJnEAE,"The restaurant was full but they could make a table for us. The staff was friendly but they looked overwhelmed. The food was good, good value for money.",4,2023-11-04T18:50:32Z,6 months ago
ChIJpTWHmbzbfkcRdRu-nZfYwIY,places/ChIJpTWHmbzbfkcRdRu-nZfYwIY/reviews/ChZDSUhNMG9nS0VJQ0FnSUM1anA2ckhBEAE,"Service above and beyond, a waitress with a prodigious memory for diners' comments and preferences, as well as a very professional manner and a joyous approach to her work. We were all impressed with her sense of humour and ""style"" of interaction. A great experience for 9 family members. Thank you.",5,2023-10-13T11:42:30Z,7 months ago
ChIJpTWHmbzbfkcRdRu-nZfYwIY,places/ChIJpTWHmbzbfkcRdRu-nZfYwIY/reviews/ChdDSUhNMG9nS0VJQ0FnSURVOU4tZWhBRRAB,Amazing experience. Best food we've ever had in all of Italy!,5,2019-08-15T23:16:50Z,4 years ago
ChIJpTWHmbzbfkcRdRu-nZfYwIY,places/ChIJpTWHmbzbfkcRdRu-nZfYwIY/reviews/ChRDSUhNMG9nS0VJQ0FnSUREbF90bhAB,Great food and pizza. Nice offer menu for lunch.,5,2024-04-15T10:37:00Z,a month ago
ChIJ_0KcCADbfkcRZ8PDOxP_nGk,places/ChIJ_0KcCADbfkcRZ8PDOxP_nGk/reviews/ChZDSUhNMG9nS0VJQ0FnSUNaOUpTX0lnEAE,"Great owner, fast service, excellent food. Pub is Peaky Blinders themed with large terrace where you can watch big screen football. They have great draft beer sellection. This is my favourite pub in Padova.",5,2023-09-05T10:19:53Z,8 months ago
ChIJ_0KcCADbfkcRZ8PDOxP_nGk,places/ChIJ_0KcCADbfkcRZ8PDOxP_nGk/reviews/ChZDSUhNMG9nS0VJQ0FnSUNsa1lYbGFBEAE,"The food is excellent, with a delicious burger and top-notch Angus cut.
Belgian beer offers an authentic flavor experience that is truly unique. Unfortunately, we had to end the evening quickly due to an unexpected event.
Despite this inconvenience, the quality of the food and drinks definitely deserve 5 stars!

Nice place",5,2023-12-12T15:03:28Z,5 months ago
ChIJ_0KcCADbfkcRZ8PDOxP_nGk,places/ChIJ_0KcCADbfkcRZ8PDOxP_nGk/reviews/ChZDSUhNMG9nS0VJQ0FnSUNkNmRxRURnEAE,Nice and cosy. Head bar man was very friendly and helpful. Could do with opening earlier when the Six Nations rugby is on!,4,2024-02-16T09:54:21Z,3 months ago
ChIJ_0KcCADbfkcRZ8PDOxP_nGk,places/ChIJ_0KcCADbfkcRZ8PDOxP_nGk/reviews/ChdDSUhNMG9nS0VJQ0FnSURCMHF1OTFnRRAB,"They have a good selection of beers that you might try, i personally am not a fan of beers, ordered cocktail margarita and it was alright. There was live music on the upper floor which was nice. My friends had hamburgers and told me that these were the one of the best hamburgers they tried in padova. Overall the interior of the place is pretty cozy and chill. Would recommend spending a night with friends, making a reservation might be helpful since it was pretty full when we were there.",4,2023-01-15T20:10:45Z,a year ago
ChIJ_0KcCADbfkcRZ8PDOxP_nGk,places/ChIJ_0KcCADbfkcRZ8PDOxP_nGk/reviews/ChdDSUhNMG9nS0VJQ0FnSUN1cnVuWnlnRRAB,"As another reviewer mentioned, this place has a serious selection of food for non-meat eaters. I had the vegan pulled pork sandwich and it was delicious. The others ate various conventional burgers and were also happy. The beer was good, and the outdoor area is a pleasant place to sit on a hot day. Just what we were looking for.",5,2022-07-28T17:18:56Z,a year ago
ChIJz4aHi_jbfkcRoPrHfub6BLU,places/ChIJz4aHi_jbfkcRoPrHfub6BLU/reviews/ChdDSUhNMG9nS0VJQ0FnSUQ5X2FHXzhRRRAB,"It was our first night in Padua and this place is among the recommended eateries by the hotel. We decided to go there and it did not disappoint. The meals were amazing and, despite my Indonesian origin, they invoked the sense of home for me. The rabbit sallad was great and there is something with their escalope with artichoke that gave me a sense of comfort. My husband also enjoyed his polenta pie and salad.

Unfortunately, we had to ask for the dessert because the waitress did not offer them to us. A slight annoyance but their tiramisu is a new experience for me. I did not expect to be served a big portion of refreshing tiramisu.

Warm recommended! 4,5 / 5",4,2024-03-20T09:20:15Z,2 months ago
ChIJz4aHi_jbfkcRoPrHfub6BLU,places/ChIJz4aHi_jbfkcRoPrHfub6BLU/reviews/ChZDSUhNMG9nS0VJQ0FnSUREN29hdExREAE,Incredible good food and the vibes,5,2024-04-09T18:20:03Z,a month ago
ChIJz4aHi_jbfkcRoPrHfub6BLU,places/ChIJz4aHi_jbfkcRoPrHfub6BLU/reviews/ChdDSUhNMG9nS0VJQ0FnSUNhaXBuZG9RRRAB,Fine restaurant with very friendly staff! If you are hungry you will need a Primi Piati & a Secondo because the portions aren't big but that's an advantage if you want to discover different dishes 😋,5,2021-07-28T05:22:29Z,2 years ago
ChIJz4aHi_jbfkcRoPrHfub6BLU,places/ChIJz4aHi_jbfkcRoPrHfub6BLU/reviews/ChZDSUhNMG9nS0VJQ0FnSURlMkppY0V3EAE,Best Italian Restaurant I’ve been so far. Simple handmade pasta with at least 3 ingredients but suuuuper tasty! Totally recommend!,5,2022-10-01T11:28:16Z,a year ago
ChIJz4aHi_jbfkcRoPrHfub6BLU,places/ChIJz4aHi_jbfkcRoPrHfub6BLU/reviews/ChZDSUhNMG9nS0VJQ0FnSUQybTlXV093EAE,"I liked my pasta, very good. The beef was in the middle quite blue and not medium and was chewie.",4,2022-05-25T20:01:13Z,a year ago
ChIJpZZBCGXbfkcRSA80biTZAKo,places/ChIJpZZBCGXbfkcRSA80biTZAKo/reviews/ChZDSUhNMG9nS0VJQ0FnSUNKMEsyNGVBEAE,"This terrace restaurant in Padua is a hidden gem in a beautiful building. The combination of a modern interior, creative chef, and astonishing dishes is truly enticing. The service provided by the staff enhances the overall dining experience.

This restaurant is a must-visit in Padua. Not only will you enjoy delicious food, but you'll also have the opportunity to admire a nice view of the surroundings, including part of the historic town.",5,2023-06-19T10:35:50Z,11 months ago
ChIJpZZBCGXbfkcRSA80biTZAKo,places/ChIJpZZBCGXbfkcRSA80biTZAKo/reviews/ChdDSUhNMG9nS0VJQ0FnSURaZ0tPeDZ3RRAB,"The best: the Pratto della Valle view. Best time to go would be before the sunset for sure. To make the insta picture pays the overpriced cocktails and food that is served here. The service is really kind, always asking if everything is ok. Cocktails come with small food to eat like taralli, olives and chips. The other appetizers are super super small but good in flavour and quality.",4,2023-09-21T20:20:20Z,8 months ago
ChIJpZZBCGXbfkcRSA80biTZAKo,places/ChIJpZZBCGXbfkcRSA80biTZAKo/reviews/ChZDSUhNMG9nS0VJQ0FnSURlNVBlZ0xBEAE,The terrace is great with azing views over the square. Service was brilliant. The staff helped with food choices and drinks. The food was great. We had a selection of started and mains. Then finished with cafe xo patron!,5,2022-10-02T21:44:13Z,a year ago
ChIJpZZBCGXbfkcRSA80biTZAKo,places/ChIJpZZBCGXbfkcRSA80biTZAKo/reviews/ChdDSUhNMG9nS0VJQ0FnSUNSMy03TmxnRRAB,"Innovative, superb food served in a spectacular setting by charming and efficient staff. Very fair prices. Absolute top notch.",5,2023-04-14T09:01:56Z,a year ago
ChIJpZZBCGXbfkcRSA80biTZAKo,places/ChIJpZZBCGXbfkcRSA80biTZAKo/reviews/ChZDSUhNMG9nS0VJQ0FnSURqdC1QbFlBEAE,The atmosphere and the view is so good. Yesterday we went there with my boyfriend we also have fascinated with their hospitality and smiley face.,5,2024-05-08T17:14:39Z,a week ago
ChIJDyi3sZXbfkcRx6Ev8EAcHAo,places/ChIJDyi3sZXbfkcRx6Ev8EAcHAo/reviews/ChZDSUhNMG9nS0VJQ0FnSURJdDduakp3EAE,Locks Kxkd were on sale a week after later being and is a little good but for you the rest same I was think the last thing to say about this was a to a see the what I of was got is the first place time in for my a couple few weeks days before she I was asked a,5,2019-01-26T14:29:27Z,5 years ago
ChIJDyi3sZXbfkcRx6Ev8EAcHAo,places/ChIJDyi3sZXbfkcRx6Ev8EAcHAo/reviews/ChZDSUhNMG9nS0VJQ0FnSUNhelpPekVREAE,"Very friendly and helpful staff, great location and one of the tastiest McDonald's I've eaten at across Europe! 💕",5,2021-08-06T15:46:37Z,2 years ago
ChIJDyi3sZXbfkcRx6Ev8EAcHAo,places/ChIJDyi3sZXbfkcRx6Ev8EAcHAo/reviews/ChdDSUhNMG9nS0VJQ0FnSUNBX1lfYjNRRRAB,The woman spoke good english and toon the time for us. We had very fresh and good food and she was very nice to us!,5,2016-08-15T08:40:46Z,7 years ago
ChIJDyi3sZXbfkcRx6Ev8EAcHAo,places/ChIJDyi3sZXbfkcRx6Ev8EAcHAo/reviews/ChZDSUhNMG9nS0VJQ0FnSURPMTlxaGRBEAE,Good service,4,2022-07-16T11:54:38Z,a year ago
